time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0.168,2.19470255626816,3.55466130525955,0.778297852484486,0,0,45027.6695904321,71653.9986243675,3967.46057954792
0.169,2.1948322981531,3.55454694163708,0.778249881735723,0,0,45028.982524657,71658.0192605691,3967.26718505964
0.17,2.19496203432808,3.55443257198814,0.778201911069673,0,0,45030.2945802593,71662.0384573984,3967.07378674689
0.171,2.19509176479037,3.55431819631519,0.778153940487251,0,0,45031.6058251327,71666.0563278854,3966.88038417962
0.172,2.19522148953731,3.55420381462064,0.778105969989339,0,0,45032.9163211048,71670.0729749591,3966.68697696643
0.173,2.19535120856632,3.55408942690683,0.778057999576795,0,0,45034.2261245743,71674.0884925085,3966.49356475053
0.174,2.19548092187487,3.55397503317604,0.778010029250449,0,0,45035.5352868528,71678.1029659521,3966.30014720756
0.175,2.19561062946051,3.55386063343049,0.77796205901111,0,0,45036.8438547553,71682.1164732207,3966.10672404182
0.176,2.19574033132084,3.55374622767236,0.777914088859567,0,0,45038.1518709068,71686.1290852668,3965.91329498434
0.177,2.19587002745351,3.55363181590379,0.777866118796589,0,0,45039.4593741376,71690.1408667243,3965.7198597903
0.178,2.19599971785622,3.55351739812686,0.77781814882293,0,0,45040.766399805,71694.1518764424,3965.52641823707
0.179,2.1961294025267,3.55340297434363,0.777770178939326,0,0,45042.0729802103,71698.1621681822,3965.33297012147
0.18,2.19625908146275,3.55328854455614,0.777722209146501,0,0,45043.3791446747,71702.1717907403,3965.13951525933
0.181,2.19638875466215,3.55317410876636,0.777674239445165,0,0,45044.6849199589,71706.1807886496,3964.94605348281
0.182,2.19651842212277,3.55305966697627,0.777626269836016,0,0,45045.9903303812,71710.1892023744,3964.75258463964
0.183,2.19664808384248,3.55294521918781,0.777578300319742,0,0,45047.2953981881,71714.1970689289,3964.55910859075
0.184,2.19677773981917,3.55283076540289,0.777530330897022,0,0,45048.6001435344,71718.204421843,3964.36562521041
0.185,2.19690739005078,3.55271630562341,0.777482361568524,0,0,45049.9045848626,71722.211291794,3964.17213438383
0.186,2.19703703453524,3.55260183985125,0.777434392334911,0,0,45051.2087389558,71726.2177066964,3963.97863600678
0.187,2.19716667327053,3.55248736808827,0.777386423196836,0,0,45052.512620997,71730.2236917977,3963.78512998522
0.188,2.19729630625462,3.55237289033631,0.777338454154946,0,0,45053.8162449651,71734.2292703406,3963.59161623283
0.189,2.19742593348553,3.55225840659721,0.777290485209883,0,0,45055.1196234478,71738.2344632504,3963.39809467212
0.19,2.19755555496127,3.55214391687279,0.777242516362282,0,0,45056.4227680382,71742.2392897945,3963.20456523197
0.191,2.19768517067987,3.55202942116485,0.777194547612774,0,0,45057.7256891865,71746.2437673374,3963.01102784853
0.192,2.19781478063937,3.55191491947518,0.777146578961986,0,0,45059.0283964444,71750.2479117461,3962.81748246371
0.193,2.19794438483783,3.55180041180559,0.777098610410539,0,0,45060.3308985022,71754.2517374525,3962.62392902487
0.194,2.19807398327332,3.55168589815783,0.777050641959051,0,0,45061.6332033219,71758.2552576751,3962.43036748405
0.195,2.19820357594391,3.55157137853369,0.777002673608138,0,0,45062.9353180689,71762.2584843055,3962.23679779836
0.196,2.19833316284768,3.55145685293492,0.77695470535841,0,0,45064.2372493314,71766.2614282731,3962.04321992859
0.197,2.19846274398273,3.55134232136328,0.776906737210476,0,0,45065.5390030684,71770.2640994595,3961.84963383955
0.198,2.19859231934715,3.55122778382053,0.776858769164944,0,0,45066.840584696,71774.2665068409,3961.6560394995
0.199,2.19872188893906,3.5511132403084,0.776810801222415,0,0,45068.1419991852,71778.2686586525,3961.46243687955
